timestamp,currentCharge,application_workload,brightness,gps,power_saving,refresh_rate,discharge_rate
1709533053,988680,2,80,0,1,120,11235.0
1709533173,988680,2,80,1,0,60,11235.0
1709533294,966210,2,80,1,0,120,11235.0
1709533415,966210,2,80,1,1,60,11235.0
1709533535,943740,2,80,1,1,120,11235.0
1709533656,943740,2,100,0,0,60,11235.0
1709533777,921270,2,100,0,0,120,7490.0
1709533898,921270,2,100,0,1,60,7490.0
1709534018,921270,2,100,0,1,120,7490.0
1709534139,898800,2,100,1,0,60,22470.0
1709534260,876330,2,100,1,0,120,11235.0
1709534380,876330,2,100,1,1,60,11235.0
1709534501,853860,2,100,1,1,120,5617.5
1709534622,853860,3,0,0,0,60,5617.5
1709534743,853860,3,0,0,0,120,5617.5
1709534864,853860,3,0,0,1,60,5617.5
1709534984,831390,3,0,0,1,120,5617.5
1709535105,831390,3,0,1,0,60,5617.5
1709535226,831390,3,0,1,0,120,5617.5
1709535347,831390,3,0,1,1,60,5617.5
1709535467,808920,3,0,1,1,120,11235.0
1709535588,808920,3,20,0,0,60,11235.0
1709535709,786450,3,20,0,0,120,4494.0
1709535829,786450,3,20,0,1,60,4494.0
1709535950,786450,3,20,0,1,120,4494.0
1709536071,786450,3,20,1,0,60,4494.0
1709536191,786450,3,20,1,0,120,4494.0
1709536312,763980,3,20,1,1,60,7490.0
1709536433,763980,3,20,1,1,120,7490.0
1709536553,763980,3,40,0,0,60,7490.0
1709536674,741510,3,40,0,0,120,11235.0
1709536795,741510,3,40,0,1,60,11235.0
1709536916,719040,3,40,0,1,120,4494.0
1709537036,719040,3,40,1,0,60,4494.0
1709537157,719040,3,40,1,0,120,4494.0
1709537278,719040,3,40,1,1,60,4494.0
1709537400,719040,3,40,1,1,120,4494.0
1709537521,696570,3,60,0,0,60,11235.0
1709537642,696570,3,60,0,0,120,11235.0
1709537762,674100,3,60,0,1,60,7490.0
1709537883,674100,3,60,0,1,120,7490.0
1709538004,674100,3,60,1,0,60,7490.0
1709538124,651630,3,60,1,0,120,9808.333333333334
1709538245,651630,3,60,1,1,60,9808.333333333334
1709576638,2044770,3,60,1,1,60,7490.0
1709576758,2044770,3,60,1,1,120,7490.0
1709576879,2044770,3,80,0,0,60,7490.0
1709577000,2022300,3,80,0,0,120,5617.5
1709577121,2022300,3,80,0,1,60,5617.5
1709577242,2022300,3,80,0,1,120,5617.5
1709577362,2022300,3,80,1,0,60,5617.5
1709577483,1999830,3,80,1,0,120,11235.0
1709577604,1999830,3,80,1,1,60,11235.0
1709577725,1977360,3,80,1,1,120,11235.0
1709577845,1977360,3,100,0,0,60,11235.0
1709577966,1954890,3,100,0,0,120,11235.0
1709578087,1954890,3,100,0,1,60,11235.0
1709578208,1932420,3,100,0,1,120,7490.0
1709578328,1932420,3,100,1,0,60,7490.0
1709578449,1932420,3,100,1,0,120,7490.0
1709578570,1909950,3,100,1,1,60,11235.0
1709578691,1909950,3,100,1,1,120,11235.0
1709578811,1887480,4,0,0,0,60,7490.0
1709578932,1887480,4,0,0,0,120,7490.0
1709579053,1887480,4,0,0,1,60,7490.0
1709579174,1865010,4,0,0,1,120,4494.0
1709579294,1865010,4,0,1,0,60,4494.0
1709579415,1865010,4,0,1,0,120,4494.0
1709579536,1865010,4,0,1,1,60,4494.0
1709579657,1865010,4,0,1,1,120,4494.0
1709579778,1842540,4,20,0,0,60,4494.0
1709579898,1842540,4,20,0,0,120,4494.0
1709580019,1842540,4,20,0,1,60,4494.0
1709580140,1842540,4,20,0,1,120,4494.0
1709580261,1842540,4,20,1,0,60,4494.0
1709580382,1820070,4,20,1,0,120,5617.5
1709580503,1820070,4,20,1,1,60,5617.5
1709580623,1820070,4,20,1,1,120,5617.5
1709580744,1820070,4,40,0,0,60,5617.5
1709580865,1797600,4,40,0,0,120,5617.5
1709580986,1797600,4,40,0,1,60,5617.5
1709581107,1797600,4,40,0,1,120,5617.5
1709581227,1797600,4,40,1,0,60,5617.5
1709581348,1775130,4,40,1,0,120,11235.0
1709581469,1775130,4,40,1,1,60,11235.0
1709581590,1752660,4,40,1,1,120,7490.0
1709581710,1752660,4,60,0,0,60,7490.0
1709581831,1752660,4,60,0,0,120,7490.0
1709581952,1730190,4,60,0,1,60,11235.0
1709582073,1730190,4,60,0,1,120,11235.0
1709582194,1707720,4,60,1,0,60,11235.0
1709582314,1707720,4,60,1,0,120,11235.0
1709582435,1685250,4,60,1,1,60,11235.0
1709582556,1685250,4,60,1,1,120,11235.0
1709582677,1662780,4,80,0,0,60,11235.0
1709582798,1662780,4,80,0,0,120,11235.0
1709582918,1640310,4,80,0,1,60,7490.0
1709583039,1640310,4,80,0,1,120,7490.0
1709583161,1640310,4,80,1,0,60,7490.0
1709583282,1617840,4,80,1,0,120,11235.0
1709583403,1617840,4,80,1,1,60,11235.0
1709583524,1595370,4,80,1,1,120,11235.0
1709583644,1595370,4,100,0,0,60,11235.0
1709583765,1572900,4,100,0,0,120,22470.0
1709583886,1550430,4,100,0,1,60,438165.0
1709584007,1550430,4,100,0,1,120,438165.0
1710186617,674100,4,100,1,0,60,22470.0
1710186738,651630,4,100,1,0,120,22470.0
1710186858,629160,4,100,1,1,60,11235.0
1710186979,629160,4,100,1,1,120,11235.0
1710187100,606690,5,0,0,0,60,7490.0
1710187221,606690,5,0,0,0,120,7490.0
1710187342,606690,5,0,0,1,60,7490.0
1710187463,584220,5,0,0,1,120,2808.75
1710187583,584220,5,0,1,0,60,2808.75
1710187704,584220,5,0,1,0,120,2808.75
1710187825,584220,5,0,1,1,60,2808.75
1710187946,584220,5,0,1,1,120,2808.75
1710188066,584220,5,20,0,0,60,2808.75
1710188187,584220,5,20,0,0,120,2808.75
1710188308,584220,5,20,0,1,60,2808.75
1710188429,561750,5,20,0,1,120,7490.0
1710188549,561750,5,20,1,0,60,7490.0
1710188670,561750,5,20,1,0,120,7490.0
1710188791,539280,5,20,1,1,60,7490.0
1710188912,539280,5,20,1,1,120,7490.0
1710189033,539280,5,40,0,0,60,7490.0
1710189154,516810,5,40,0,0,120,5617.5
1710189274,516810,5,40,0,1,60,5617.5
1710189395,516810,5,40,0,1,120,5617.5
1710189516,516810,5,40,1,0,60,5617.5
1710189637,494340,5,40,1,0,120,7490.0
1710189757,494340,5,40,1,1,60,7490.0
1710189878,494340,5,40,1,1,120,7490.0
1710189999,471870,5,60,0,0,60,7490.0
1710190120,471870,5,60,0,0,120,7490.0
1710190240,471870,5,60,0,1,60,7490.0
1710190361,449400,5,60,0,1,120,9808.333333333334
1710190482,449400,5,60,1,0,60,9808.333333333334
